"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLACBUS","194913","1727.246","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","195013","1563.933","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","195113","1378.693","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","195213","984.04","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","195313","732.992","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","195413","461.404","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","195513","421.262","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","195613","339.821","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","195713","241.264","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","195813","115.156","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","195913","87.83","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","196013","74.959","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","196113","18.927","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","196213","16.874","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","196313","16.421","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","196413","17.403","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","196513","15.972","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","196613","14.754","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","196713","11.227","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","196813","10.014","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","196913","7.426","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197013","6.849","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197113","4.693","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197213","3.676","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197301","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197302","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197303","0.045","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197304","0.294","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197305","0.384","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197306","0.339","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197307","0.294","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197308","0.316","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197309","0.271","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197310","0.271","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197311","0.248","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197312","0.158","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197313","2.62","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197401","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197402","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197403","0.067","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197404","0.224","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197405","0.179","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197406","0.135","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197407","0.157","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197408","0.202","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197409","0.202","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197410","0.179","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197411","0.336","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197412","0.112","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197413","1.794","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197501","0.022","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197502","0.022","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197503","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197504","0.067","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197505","0.09","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197506","0.067","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197507","0.045","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197508","0.045","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197509","0.045","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197510","0.067","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197511","0.045","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197512","0.022","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197513","0.538","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197601","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197602","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197603","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197604","0.023","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197605","0.045","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197606","0.023","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197607","0.023","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197608","0.023","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197609","0.045","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197610","0.045","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197611","0.023","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197612","0.023","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197613","0.27","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197701","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197702","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197703","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197704","0.022","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197705","0.022","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197706","0.045","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197707","0.022","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197708","0.022","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197709","0.022","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197710","0.022","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197711","0.022","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197712","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197713","0.201","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197801","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197802","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197803","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197804","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197805","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197806","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197807","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197808","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","197809","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
